Word,Frequency
ndi,15780
kuti,11245
wa,7083
ya,5147
a,4499
pa,4467
anthu,4403
ndipo,4226
ku,4222
la,4212
koma,3762
za,3301
kwa,3297
adati,3016
chifukwa,2920
cha,2717
adatero,2623
ntchito,2446
ena,2190
komanso,2190
iye,2118
ngati,2085
boma,2024
zomwe,1901
omwe,1851
amene,1678
mwa,1617
ndiye,1474
dziko,1329
malamulo,1309
izi,1255
ali,1243
ndalama,1189
nthawi,1152
yemwe,1130
pomwe,1124
wati,1095
bwino,1074
akuti,1063
nyumba,1060
pamene,1040
k,1037
chaka,1037
kapena,1029
mboma,1027
yomwe,983
mdziko,976
lino,969
zina,966
bungwe,951
malawi,920
munthu,915
zaka,907
mu,881
nkhani,879
monga,869
muno,846
momwe,845
chakwera,831
kwambiri,830
nawo,817
ambiri,806
mkulu,801
wina,791
ngakhale,789
adali,758
wake,753
zinthu,721
ana,703
mpaka,700
wenela,700
nduna,692
chomwe,687
akwanitse,679
apolisi,675
malonjezohrdc,673
sukulu,659
pano,645
mtsogoleri,641
ake,631
alimi,629
amalawi,627
kale,626
chipani,625
komwe,607
mutharika,600
mwana,596
mafumu,580
zedi,579
madzi,571
awo,570
banda,560
lilongwe,558
kodi,551
mneneri,542
naye,538
si,526
chisale,519
watuluka,519
zambiri,518
nkumangidwanso,515
pasintha,511
mavuto,502
the,497
chimanga,496
blantyre,496
ati,494
mvula,493
sipakala,489
waimitsa,489
palibe,483
tsiku,483
ka,480
bwanji,479
malinga,476
mkazi,470
anatchereza,469
of,464
t,462
kaamba,458
pali,453
zonse,453
malo,452
chiradzulu,447
onse,444
dpp,444
lomwe,440
njira,439
mmodzi,436
sabata,434
kukhala,428
mfumu,423
mmudzi,422
vuto,419
aliyense,415
apa,415
amayi,412
chino,412
mbewu,412
ayamba,411
lero,407
banja,404
tidakumana,396
ayi,394
nkhaniyi,389
ndondomeko,389
zipani,384
yake,382
chisankho,382
basi,381
akufuna,366
masiku,365
lake,364
aphungu,363
ine,359
mayi,357
pakati,356
mtengo,355
wawo,350
ufulu,346
mec,344
chake,343
iwo,343
ulimi,339
ndiwo,335
mumzinda,335
zili,333
kuchokera,332
moti,329
akuluakulu,324
mapiri,324
mankhwala,321
malonjezo,319
kuoneka,319
mitengo,319
pansi,319
chigwa,318
mcp,318
mtima,318
zawo,315
mabungwe,315
mphamvu,315
ili,314
masankhidwe,313
autsa,313
choncho,311
ndale,310
mwezi,308
mbali,308
ndili,305
unduna,304
ina,301
matenda,300
milandu,300
mwamuna,299
amakhala,299
and,293
mmalo,288
osati,286
makolo,286
moyo,286
limodzi,285
awiri,280
mlandu,279
chuma,278
ife,278
nanga,277
mmene,276
fodya,276
zake,275
chiyani,271
akhala,271
katundu,270
mwina,266
mwayi,263
chakudya,262
to,261
yawo,258
makamaka,255
akuyenera,253
wachiwiri,252
anthuwa,249
miliyoni,248
maganizo,246
pofuna,244
mmadera,244
kuli,243
thandizo,241
maphunziro,241
nyimbo,239
kuno,235
amati,235
phiri,234
poti,229
zoti,229
zimene,229
for,228
ndine,227
atsogoleri,225
womwe,224
maiko,223
polisi,220
zipangizo,220
kuchita,219
choti,219
ziwiri,219
chatha,217
gawo,217
kumeneko,217
imodzi,217
galimoto,216
cholinga,216
tsopano,216
mchaka,216
wanga,215
kanthu,214
mlimi,214
ntchitoyi,214
magetsi,212
njala,212
mfundo,211
ogwira,209
chitukuko,209
kuchoka,209
matendawa,209
kwawo,208
in,207
lachiwiri,206
apo,205
party,204
nchifukwa,204
mzuzu,204
mawu,202
nkuti,202
pp,202
pulezidenti,201
dzina,201
zisankho,198
adayamba,198
peter,197
miyezi,196
akhoza,194
chipanichi,194
kuyambira,194
tamvani,193
kuchipatala,193
mulungu,192
kotero,192
komabe,192
lachitatu,191
abale,191
nazo,191
kupita,191
pankhani,191
mwambo,190
osiyanasiyana,190
bungweli,188
bwalo,188
nthambi,187
tili,187
zionetsero,187
akhale,187
admarc,185
bambo,185
zaumoyo,185
yaikulu,184
okha,183
achinyamata,183
mmanja,183
wamkulu,183
amayenera,183
zotsatira,182
ukwati,182
chilichonse,182
muli,181
uli,180
kusukulu,180
anga,178
ngombe,178
kupeza,178
kumene,177
kudali,174
aphunzitsi,173
phungu,172
kupereka,172
chitetezo,172
africa,171
yatha,171
chikondi,171
ndithu,170
anthuwo,170
kudzera,170
atatu,169
udf,168
adauza,168
ma,167
lamulo,167
kunyumba,166
lili,166
may,166
nsanje,165
awiriwa,164
mgwirizano,164
lina,164
zachuma,163
msonkhano,163
malipiro,162
kugwira,161
yati,161
patuma,161
koti,161
dedza,161
lawo,160
malonda,160
iyi,159
abiti,159
lachinayi,159
alibe,159
ganizo,157
popanda,157
udindo,157
mbomalo,157
kafukufuku,156
pafupifupi,155
mmaboma,155
uja,155
chibwenzi,155
china,155
iliyonse,154
nyengo,154
kunena,154
zoona,154
ponena,153
lolemba,153
chidwi,152
kusowa,152
mnyumba,152
madera,151
mafuta,150
mlembi,150
kusintha,149
inu,148
mbanja,148
gulu,148
woti,148
mawa,148
amafuna,147
chipatala,146
uku,146
zimenezi,146
zosiyanasiyana,145
mtundu,145
timu,144
ichi,144
idali,144
zomba,143
yoti,143
chilima,142
utm,142
biliyoni,141
kaye,141
abambo,141
ngozi,141
adachita,140
maboma,140
mkuluyu,139
mphunzitsi,139
wapampando,139
lalikulu,139
mdera,138
imene,138
panopa,138
uthenga,138
kufika,138
mozambique,138
athu,137
nambala,137
maso,136
malingana,135
pofika,135
mkati,135
nkhawa,134
gogo,134
kwake,133
kampani,133
nyama,133
chimene,133
komiti,133
kaya,132
ulendo,132
pakhomo,132
makuponi,131
chief,131
kumudzi,131
thupi,131
chawo,131
amuna,129
ufumu,129
bullets,129
chiyembekezo,129
pena,128
ziweto,128
lililonse,128
mayeso,127
mwanayo,126
patsogolo,126
mwake,126
mantha,126
kalembera,125
mbiri,125
wathu,125
amachita,124
commission,124
foni,124
south,123
akuchita,123
katswiri,123
adapempha,123
chipanicho,123
waukulu,123
kamuzu,123
kalata,123
watero,122
magazi,122
bwinobwino,122
mnyamata,121
chachikulu,121
maliro,121
mkaka,121
kusiyana,121
kupatula,121
msabatayi,120
nchakuti,120
mulanje,119
chabe,119
ansah,119
is,119
imfa,119
gondwe,119
nayo,118
maina,117
kugula,117
moto,117
mwanza,116
poyamba,116
